cell_id,lon,lat,year,month,time_index,MCI,MCI_shifted,log_MCI,observed,log_MCI_pred_mean,log_MCI_pred_std,MCI_pred_mean,MCI_pred_std,MCI_pred_cv_pct,residual_log
0,121.055475,14.38994,2021,1,0,-0.1828742975,0.2048726412499999,-1.5853667551021748,True,-1.5485130591909266,0.09935298132565774,-0.1751831299936002,0.02111884812188526,6.4160247623334925,-0.03685369591124821
0,121.055475,14.38994,2021,2,1,-0.0987778718749999,0.2889690668749999,-1.241435631632965,True,-1.2398177301080393,0.03818290035429658,-0.09830996997351171,0.011051542937642298,3.0797188511709113,-0.0016179015249258022
0,121.055475,14.38994,2021,3,2,-0.1112343287499999,0.27651261,-1.2854988532730414,True,-1.2847721187739038,0.06537474589393286,-0.11103330446007048,0.0180900835270908,5.088431243069153,-0.0007267344991375158
0,121.055475,14.38994,2021,4,3,-0.140364223125,0.2473827156249999,-1.3968186855508584,True,-1.3864150756132099,0.05903951352761622,-0.13777711555190436,0.014758096758199796,4.258429857415039,-0.01040360993764855
0,121.055475,14.38994,2021,5,4,-0.1086833718749999,0.279063566875,-1.2763156848503177,True,-1.2672593205677205,0.033007534087042975,-0.10614459184906316,0.00929499906432397,2.6046392834779786,-0.009056364282597151
0,121.055475,14.38994,2021,6,5,,,,False,-1.3663214269145356,0.04004516943775607,-0.13270350678988374,0.010213257446829663,2.930874730420291,
0,121.055475,14.38994,2021,7,6,-0.1567122162499999,0.2310347224999999,-1.465187265903525,True,-1.478878653730498,0.10316165573859702,-0.15985384652220852,0.023509828725607754,6.97566737327433,0.0136913878269731
0,121.055475,14.38994,2021,8,7,-0.1755074137499999,0.2122395249999999,-1.5500398071875734,True,-1.5490465853092323,0.07176685619624841,-0.1752965080896011,0.015246899506035885,4.632969523116167,-0.0009932218783410551
0,121.055475,14.38994,2021,9,8,-0.2359924924999999,0.15175444625,-1.885491549636506,True,-1.8740088492969507,0.13455069785359433,-0.2342398986705698,0.020654479368126994,7.1798325767817,-0.01148270033955523
0,121.055475,14.38994,2021,10,9,-0.2655321887499999,0.12221475,-2.101975535764434,True,-2.044858016750393,0.14839916236789424,-0.258348377648656,0.01920263807905022,7.257186618938183,-0.05711751901404094
0,121.055475,14.38994,2021,11,10,-0.1159914693749999,0.2717554693749999,-1.3028526266884135,True,-1.313826052989892,0.065054171212564,-0.11895725581013478,0.01748589005414078,4.951505647533731,0.010973426301478462
